Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Bert Kaempfert,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,5TlY1mVM0dL8nce0hfYmBX,1GAaPEO2DbckkYOUM9uk5s,10
Kevin Pabst,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,52YaqlPisu5k8YblZYaJEo,56oMvDRGQfmJHuJFt0oKAx,18
Bert Kaempfert,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,4QjKdK9BKlOlfLpIRkHJ4u,0XaDMFH9L9ON94FogLsgxG,12
2 minutos,Latin (Origen: spanish pop),Canción,Melodía de barrio,2010,5Saphxus6UX3TAbwApPJXJ,5ak3UleVbbRDoLwUS8Nxui,32
Camila,Latin (Origen: spanish pop),Canción,Abrázame - Versión Acústica,2010,64jazlN0IptURNCcXlWrZ1,1keLgxOT1qqp6O8kEZALyq,27
Michael Marc,Latin (Origen: spanish pop),Canción,Aubrey (Bread/David Gates Cover),2010,2q76iFFZB098M4POe61ilS,7r9xDXjAuK3mDY6GzZhZ3j,32
Michael Marc,Latin (Origen: spanish pop),Canción,Killing Me Softly (Roberta Flack Cover),2010,4GwKbuaDXxytLL5MPQaYkF,7r9xDXjAuK3mDY6GzZhZ3j,25
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Un Nuevo Día (Spanish Pop),2010,66FspLrTehjSUsJCqaqnbk,34FRjQgzXPIYpO0XmagPX0,5
Michael Marc,Latin (Origen: spanish pop),Canción,Wave (Antonio Carlos Jobim - Instrumental),2010,2D3JOzCb8y9lcBlegRNaSW,0TfmOq6SalVkpHy1HVizCd,29
Michael Marc,Latin (Origen: spanish pop),Canción,Layla (Eric Clapton - Instrumental Unplugged),2010,4eCqpSgzfKuvZpQHCXlDFl,0TfmOq6SalVkpHy1HVizCd,30
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Adios Al Ayer (Spanish Pop),2010,5sEpHlgY1pRfreGbg7TGMc,34FRjQgzXPIYpO0XmagPX0,6
Michael Marc,Latin (Origen: spanish pop),Canción,Hotel California (Eagles - Instrumental),2010,0MxAqiS9fS9ygV5WqzLD94,0TfmOq6SalVkpHy1HVizCd,27
Michael Marc,Latin (Origen: spanish pop),Canción,Besame Mucho,2010,42QylFh1g7nR31S0LhB1zb,7r9xDXjAuK3mDY6GzZhZ3j,19
Michael Marc,Latin (Origen: spanish pop),Canción,Tears in Heaven (Eric Clapton - Instrumental),2010,1x2jMVLFjJGXILzK3dQ0KR,0TfmOq6SalVkpHy1HVizCd,34
Nelly Furtado,Latin (Origen: spanish pop),Canción,Fotografía - Duet With Juanes,2010,4oyLaR5i04DYdqEAByke6d,472G6dTzOLZxPoBWvH5atQ,8
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Isabel (Spanish Pop),2010,1hyth6mcnv68LQxY5Kb0TN,34FRjQgzXPIYpO0XmagPX0,1
Michael Marc,Latin (Origen: spanish pop),Canción,Stardust (Poeira De Estrelas),2010,1JqrHvVu7k82bDwY3ToGzi,7r9xDXjAuK3mDY6GzZhZ3j,16
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Solo Tú (Spanish Pop),2010,1ZWUrYMNoHFJ0fKblWWPCd,34FRjQgzXPIYpO0XmagPX0,4
Michael Marc,Latin (Origen: spanish pop),Canción,Ondas De La Vida (Original Guitar Music),2010,2VgmYy8NJ0u0FojhGxaRSE,0TfmOq6SalVkpHy1HVizCd,33
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Ya No Me Quieres (Spanish Pop),2010,6ekcIZLKglKYHtJHF58cuM,34FRjQgzXPIYpO0XmagPX0,6
Charo,Latin (Origen: spanish pop),Canción,Esta Vez Ya No Vuelvo,2010,74Ba34UWor2zMJEvrnWoL7,2gSFWPqXo73QisLT5NbmPG,1
Michael Marc,Latin (Origen: spanish pop),Canción,Unforgettable (Nat King Cole Cover),2010,0HTJt1nw8jw29zZag3gpk0,7r9xDXjAuK3mDY6GzZhZ3j,18
Amaury Gutiérrez,Latin (Origen: spanish pop),Canción,Remolino,2010,5LiTkoKPAOZ1CUBcTnwgWb,4oZVAbazCKoqmjRpGAwD5A,26
Michael Marc,Latin (Origen: spanish pop),Canción,Entre Dos Luces (Spanish Guitar Improvisation),2010,2TQTeLaYvv4kMqAPogTY4l,7r9xDXjAuK3mDY6GzZhZ3j,19
Michael Marc,Latin (Origen: spanish pop),Canción,Your Song (Elton John - Instrumental),2010,5qAgK8C30YzR46Fgos2ale,0TfmOq6SalVkpHy1HVizCd,40
Charo,Latin (Origen: spanish pop),Canción,Ingrato Amor,2010,2N32V0es0yOfqtvryeTDDw,2gSFWPqXo73QisLT5NbmPG,2
Ryan,Latin (Origen: spanish pop),Canción,Rush Love - Spanish Radio Edit,2010,3oKS1LIXpwytH4mPjhV7Eu,1IeffKOuJTqW1GfWvx7Z4J,23
Madonna,Latin (Origen: spanish pop),Canción,Spanish Lesson - Live,2010,2zM8s3HAYboGE6saIgdVja,1uiHQYyeEZ9rhKwyw4lc9b,24
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Las Tres de La Noche (Spanish Pop),2010,7jAYjhaLg1j9t7Ne9tpboj,34FRjQgzXPIYpO0XmagPX0,7
Los Angeles,Latin (Origen: spanish pop),Canción,Momentos,2010,75fzqgCEdgv4RekYIUvKLO,75vcvfORa4otql73VM8txK,2
Michael Marc,Latin (Origen: spanish pop),Canción,Desperado (Eagles - Instrumental),2010,43W6uN68GBstgt4oUwuMB1,0TfmOq6SalVkpHy1HVizCd,23
