Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Ben L'Oncle Soul,funk (Origen: funk),Canción,Soulman - New English Version,2010,6gUbpcQmFvDUbe7a213wlr,6XbYsGvaSrNPOrY9E5jRd7,54,Ben L'Oncle Soul,2010,Ben L'Oncle Soul,"Benjamin Duterde (born 1984), a.k.a. Ben L'Oncle Soul ('Ben the Soul Uncle'), is a French nu-soul singer from the town of Tours, France, who has released seven full-length studio albums and a live album since 2010.

Duterde first gained prominence in his home country with the Soul Wash EP (2009), which featured six covers (Gnarls Barkley, The White Stripes, Spice Girls and the like).  Ben's first full-length album, entitled simply Ben L'Oncle Soul was released in 2010 and was put out internationally on the Motown label. <a href=""https://www.last.fm/music/Ben+l%27Oncle+Soul"">Read more on Last.fm</a>",3056772,248912
Sharon Jones & The Dap-Kings,funk (Origen: funk),Canción,Better Things,2010,2dwzy3ZOiNbJ8TBGmVb8bw,7tsqjPwOhgPOWHgp9RHYi6,49,I Learned the Hard Way,2010,Sharon Jones & The Dap-Kings,"Sharon Jones & the Dap-Kings, aka Sharon Jones and the Dap-Kings, are a funk/soul band, founded in Brooklyn, NY, USA (1996). They are signed to Daptone Records, where the Dap-Kings are the house band. They are widely thought to be spearheads of a revivalist movement that aims to capture the essence of funk/soul music as it was at its height in the mid-1960s to mid-1970s. Part of the way this is achieved is to shun modern digital recording methods in favour of using traditional analogue recording equipment. <a href=""https://www.last.fm/music/+noredirect/Sharon+Jones+&+The+Dap-Kings"">Read more on Last.fm</a>",8756383,719002
The Jive Turkeys,funk (Origen: funk),Canción,Funky Brewster,2010,2OQierF1V3Cr1VRPuJ7p8U,1G8Wn22GUexwkJWWqbnusb,21,Bread & Butter,2010,The Jive Turkeys," <a href=""https://www.last.fm/music/The+Jive+Turkeys"">Read more on Last.fm</a>",36293,8026
Nate James,funk (Origen: funk),Canción,Funkdefining,2010,1yCH3BACq92DiuHXaE1nfx,70NnNY0ciHWu9I9uoHrK72,19,Kingdom Falls (recut),2010,Nate James,"Nates James is a British soul singer / songwriter who released his debut album, Set The Tone, in 2005. The album, heavily influenced by classic soul artists such as Prince and Stevie Wonder, won James widespread critical acclaim and two MOBO nominations for Best Newcomer and Best R&B Artist. The album, penned almost entirely by James, spans a wide variety of music styles, from the bassy R&B of ""Set The Tone"" and the upbeat pop of ""Universal"" to classic ballad ""Justify Me"" and verging on rock influences in ""I'll Decline"". <a href=""https://www.last.fm/music/Nate+James"">Read more on Last.fm</a>",373896,37501
George McCrae,funk (Origen: funk),Canción,Rock Your Baby,2010,6pMHMzwTsWIxLigr54GGVm,1Vmgke5bm1op8mUnbvd6wY,63,The Singles 1974 - 76,2010,George McCrae,"George McCrae (born October 19, 1944) is a Soul and Disco singer. McCrae was born in West Palm Beach, Florida. He formed his own singing group, the Jivin' Jets, before joining the United States Navy in 1963. Four years later, he reformed the group, with his wife Gwen joining the line-up, but soon afterwards they decided to work as a duo, recording for Henry Stone's Alston record label. Gwen then won a solo contract, with George acting as her manager as well as doing some singing on sessions and in clubs. <a href=""https://www.last.fm/music/George+McCrae"">Read more on Last.fm</a>",1780733,328181
Tony Bass,funk (Origen: funk),Canción,Funk Soul Brothers,2010,6fwG7emVASy8ppjoYdSfFy,41YIT8vcFtyVzl86RPNfWF,3,Sonido Masia - Bonus Track Session By Tony Bass,2010,Various Artists," <a href=""https://www.last.fm/music/Tony+Bass"">Read more on Last.fm</a>",5637,1646
NDKj,funk (Origen: funk),Canción,Funkest Star - Marshall Remix,2010,2N9fTRMRi0RIqLErvF0bOZ,0qZMHZbzauOr1wlLqJLNJE,4,We Call It House (Presented by Jochen Pash),2010,Various Artists,"DJ and producer NDKj aka: Andrea Quirico was born in 1981 in Novara (Italy). 

He became fascinated with electronic music – especially techno – at a young age and soon started djing himself. His first DJ appearance was in 1998 when he played in some smaller clubs and private parties in Northern Italy. At that time his sound was inspired by some of the big names in the techno scene who were known for playing hard but groovy techno. But “only” <a href=""https://www.last.fm/music/NDKj"">Read more on Last.fm</a>",14687,4643
Nils Landgren Funk Unit,funk (Origen: funk),Canción,Funk for Life,2010,5bBIXhATfpBogoukoXPg6R,2PbmDLYB75vcS0huv8cIR5,17,Funk for Life,2010,Nils Landgren Funk Unit,"Nils Landgren was born in 1956. He began playing drums at the age of six. At 13 he layed his hands and lips on the trombone and was hooked for life.
Between 1972 and 1978 Nils studied classical trombone at the music college in Karlstad with David Maytan and at the university in Arvika with Ingemar Roos. During this time he also met the legendary Swedish Folk-Jazz pioneer Bengt-Arne Wallin and the fantastic tromboneplayer and proffessor of the Graz Conservatory in Austria, Eje Thelin. <a href=""https://www.last.fm/music/Nils+Landgren+Funk+Unit"">Read more on Last.fm</a>",808582,76381
Whitefield Brothers,funk (Origen: funk),Canción,Safari Strut,2010,1lDELORqnHLLTe1bYmHLq7,4FXD1pVdJ5G690V7mRAFEL,45,Earthology,2010,Whitefield Brothers,"The Poets of Rhythm have been known by many pseudonyms. Bo Baral's Excursionists of Perception, Bus People Express, Dynamic Soundmakers, Karl Hector & the Funk Pilots, The Mercy Sluts, The Mighty Continentals, The New Process, Organized Raw Funk, The Pan-Atlantics, The Soul-Saints Orchestra, The Soul Sliders, Syrup, Das Geldene Zeitalter and The Woo Woo's to name - well most of them actually. But the constant at the centre of all these monikers is  Jan ('JJ')and Max ('Muggy') Weissenfeldt, or The Whitefield Brothers.

This bio needs adding to! <a href=""https://www.last.fm/music/Whitefield+Brothers"">Read more on Last.fm</a>",406247,57578
Delegation,funk (Origen: funk),Canción,In the Night,2010,5XfUou5EWPmu3wriE9Ox7O,1um0JgV0FOnEg3UA0IF2hc,40,The Best of Delegation,2010,Delegation,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's <a href=""https://www.last.fm/music/Delegation"">Read more on Last.fm</a>",3340878,471965
